name;id;results;time;error;timestamps
interactive-short-1;0;1;303;false;17
interactive-short-1;1;1;336;false;7
interactive-short-1;2;1;297;false;16
interactive-short-1;3;1;359;false;8
interactive-short-1;4;1;282;false;22
interactive-short-2;0;10;28637;false;16791 16796 16827 16827 21974 22009 22009 22100 28606 28617
interactive-short-2;1;10;3837;false;3196 3387 3405 3417 3573 3581 3719 3723 3828 3835
interactive-short-2;2;10;1860;false;1466 1575 1597 1621 1706 1720 1739 1762 1836 1858
interactive-short-2;3;10;6166;false;4852 5453 5510 5510 5681 5811 5962 5963 6136 6160
interactive-short-2;4;10;20802;false;13668 13703 13713 13722 17650 17653 17653 17680 20789 20789
interactive-short-3;0;0;320583;true;
interactive-short-3;1;0;318132;true;
interactive-short-3;2;0;312444;true;
interactive-short-3;3;0;309028;true;
interactive-short-3;4;0;315412;true;
interactive-short-4;0;1;23;false;23
interactive-short-4;1;1;3;false;2
interactive-short-4;2;1;57;false;56
interactive-short-4;3;1;29;false;29
interactive-short-4;4;1;3;false;3
interactive-short-5;0;1;4530;false;4395
interactive-short-5;1;1;7751;false;7613
interactive-short-5;2;1;110208;true;10178
interactive-short-5;3;1;627;false;624
interactive-short-5;4;1;2538;false;2489
interactive-short-6;0;0;16;false;
interactive-short-6;1;0;67;false;
interactive-short-6;2;0;33;false;
interactive-short-6;3;0;34;false;
interactive-short-6;4;0;22;false;
interactive-short-7;0;0;2290;false;
interactive-short-7;1;0;987;false;
interactive-short-7;2;0;3508;false;
interactive-short-7;3;0;580;false;
interactive-short-7;4;0;697;false;
