experiment;time;requests;results;correctness
cnone-base;0;1;0;0
cnone-base;0;1;0;0
cnone-base;0;1;0;0
cnone-base;0;1;0;0
cnone-base;0;1;0;0
cnone-base;1;1;0;0
cnone-base;3;1;0;0
cnone-base;0;1;0;0
cnone-base;0;1;0;0
cnone-base;0;1;0;0
cnone-base;0;1;0;0
cnone-base;0;1;0;0
cnone-base;0;1;0;0
cnone-base;0;1;0;0
cnone-base;0;1;0;0
cnone-base;1;1;0;0
cnone-base;0;1;0;0
cnone-base;0;1;0;0
cnone-base;0;1;0;0
cnone-base;0;1;0;0
cnone-base;0;1;0;0
cnone-base;1;1;0;0
cnone-base;0;1;0;0
cnone-base;2;1;0;0
cnone-base;0;1;0;0
cnone-base;0;1;0;0
cnone-base;0;1;0;0
cnone-base;0;1;0;0
cnone-base;0;1;0;0
cnone-base;0;1;0;0
cnone-base;0;1;0;0
cnone-base;0;1;0;0
cnone-base;0;1;0;0
cnone-base;0;1;0;0
cnone-base;0;1;0;0
cnone-base;196;1;0;0
cnone-base;265;1;0;0
cnone-base;194;1;0;0
cnone-base;686;1;0;0
cnone-base;387;1;0;0
cmatch-base;0;1;0;0
cmatch-base;0;1;0;0
cmatch-base;0;1;0;0
cmatch-base;1;1;0;0
cmatch-base;0;1;0;0
cmatch-base;0;1;0;0
cmatch-base;0;1;0;0
cmatch-base;0;1;0;0
cmatch-base;1;1;0;0
cmatch-base;0;1;0;0
cmatch-base;0;1;0;0
cmatch-base;0;1;0;0
cmatch-base;0;1;0;0
cmatch-base;0;1;0;0
cmatch-base;0;1;0;0
cmatch-base;0;2;0;0
cmatch-base;0;2;0;0
cmatch-base;0;2;0;0
cmatch-base;0;2;0;0
cmatch-base;0;2;0;0
cmatch-base;0;1;0;0
cmatch-base;0;1;0;0
cmatch-base;0;1;0;0
cmatch-base;0;1;0;0
cmatch-base;0;1;0;0
cmatch-base;0;1;0;0
cmatch-base;0;1;0;0
cmatch-base;0;1;0;0
cmatch-base;0;1;0;0
cmatch-base;0;1;0;0
cmatch-base;0;1;0;0
cmatch-base;0;1;0;0
cmatch-base;2;1;0;0
cmatch-base;0;1;0;0
cmatch-base;0;1;0;0
cmatch-base;27801;410;10;1
cmatch-base;36226;400;10;1
cmatch-base;20332;435;10;1
cmatch-base;63615;447;10;1
cmatch-base;38334;453;10;1
call-base;124017;0;0;0
call-base;124001;0;0;0
call-base;123371;0;0;0
call-base;120420;0;0;0
call-base;119320;0;0;0
call-base;119725;0;0;0
call-base;119632;0;0;0
call-base;119228;0;0;0
call-base;118726;0;0;0
call-base;119188;0;0;0
call-base;0;0;0;0
call-base;0;0;0;0
call-base;0;0;0;0
call-base;0;0;0;0
call-base;0;0;0;0
call-base;0;0;0;0
call-base;0;0;0;0
call-base;0;0;0;0
call-base;0;0;0;0
call-base;0;0;0;0
call-base;118742;0;8;0.4
call-base;119130;0;1;0.05
call-base;119079;0;1;0.05
call-base;119295;0;1;0.05
call-base;119286;0;13;0.65
call-base;119124;0;0;0
call-base;118753;0;0;0
call-base;118813;0;0;0
call-base;118790;0;0;0
call-base;119367;0;0;0
call-base;118935;0;0;0
call-base;118986;0;0;0
call-base;118516;0;0;0
call-base;119130;0;0;0
call-base;118897;0;0;0
call-base;78396;488;10;1
call-base;46617;463;10;1
call-base;41476;441;10;1
call-base;104098;416;10;1
call-base;86318;420;10;1
cnone-idx;5953;44;6;0.75
cnone-idx;755;43;4;0.5
cnone-idx;526;39;1;0.125
cnone-idx;1429;18;14;1.75
cnone-idx;5048;38;8;1
cnone-idx;7265;44;66;0.673469387755102
cnone-idx;1014;43;46;0.46938775510204084
cnone-idx;642;39;32;0.32653061224489793
cnone-idx;1818;18;198;2.020408163265306
cnone-idx;6102;38;98;1
cnone-idx;0;44;0;0
cnone-idx;0;43;0;0
cnone-idx;0;39;0;0
cnone-idx;0;18;0;0
cnone-idx;0;38;0;0
cnone-idx;0;44;0;0
cnone-idx;0;43;0;0
cnone-idx;0;39;0;0
cnone-idx;2;18;0;0
cnone-idx;0;38;0;0
cnone-idx;1462;44;15;0.75
cnone-idx;309;43;3;0.15
cnone-idx;250;39;3;0.15
cnone-idx;429;18;4;0.2
cnone-idx;1414;38;20;1
cnone-idx;8224;44;33;1.1379310344827587
cnone-idx;568;43;1;0.034482758620689655
cnone-idx;355;39;1;0.034482758620689655
cnone-idx;1205;18;2;0.06896551724137931
cnone-idx;7379;38;27;0.9310344827586207
cnone-idx;12885;44;1;1
cnone-idx;627;43;1;1
cnone-idx;439;39;1;1
cnone-idx;1134;18;1;1
cnone-idx;9894;38;1;1
cnone-idx;780;44;0;0
cnone-idx;674;43;10;1
cnone-idx;513;39;10;1
cnone-idx;1014;18;0;0
cnone-idx;1505;38;10;1
cmatch-idx;10076;44;6;0.75
cmatch-idx;974;43;4;0.5
cmatch-idx;542;39;1;0.125
cmatch-idx;1867;18;14;1.75
cmatch-idx;5738;38;8;1
cmatch-idx;8845;44;66;0.673469387755102
cmatch-idx;1091;43;46;0.46938775510204084
cmatch-idx;734;39;32;0.32653061224489793
cmatch-idx;2227;18;198;2.020408163265306
cmatch-idx;7574;38;98;1
cmatch-idx;8;170;71;0.5
cmatch-idx;7;171;67;0.47183098591549294
cmatch-idx;11;123;55;0.3873239436619718
cmatch-idx;18;224;203;1.4295774647887325
cmatch-idx;12;189;142;1
cmatch-idx;0;60;5;0.7142857142857143
cmatch-idx;0;47;3;0.42857142857142855
cmatch-idx;0;43;3;0.42857142857142855
cmatch-idx;0;23;3;0.42857142857142855
cmatch-idx;0;58;7;1
cmatch-idx;2202;44;15;0.75
cmatch-idx;317;43;3;0.15
cmatch-idx;236;39;3;0.15
cmatch-idx;570;18;4;0.2
cmatch-idx;1829;38;20;1
cmatch-idx;120530;0;0;0
cmatch-idx;2822;43;1;0.034482758620689655
cmatch-idx;1023;39;1;0.034482758620689655
cmatch-idx;119817;0;0;0
cmatch-idx;15685;38;27;0.9310344827586207
cmatch-idx;120703;0;1;1
cmatch-idx;3504;43;1;1
cmatch-idx;1379;39;1;1
cmatch-idx;119734;0;1;1
cmatch-idx;19787;38;1;1
cmatch-idx;7276;214;10;1
cmatch-idx;17772;272;10;1
cmatch-idx;11641;220;10;1
cmatch-idx;36198;446;10;1
cmatch-idx;18413;275;10;1
call-idx;120197;0;0;0
call-idx;119426;0;0;0
call-idx;126997;0;0;0
call-idx;118600;0;0;0
call-idx;118524;0;0;0
call-idx;119021;0;0;0
call-idx;119190;0;0;0
call-idx;118608;0;0;0
call-idx;118544;0;0;0
call-idx;121045;0;0;0
call-idx;0;0;0;0
call-idx;0;0;0;0
call-idx;0;0;0;0
call-idx;0;0;0;0
call-idx;0;0;0;0
call-idx;0;0;0;0
call-idx;0;0;0;0
call-idx;0;0;0;0
call-idx;0;0;0;0
call-idx;0;0;0;0
call-idx;118199;0;10;0.5
call-idx;118622;0;1;0.05
call-idx;119000;0;1;0.05
call-idx;118484;0;1;0.05
call-idx;118413;0;19;0.95
call-idx;118407;0;0;0
call-idx;118512;0;0;0
call-idx;120328;0;0;0
call-idx;121694;0;0;0
call-idx;118609;0;0;0
call-idx;118557;0;0;0
call-idx;118384;0;0;0
call-idx;125620;0;0;0
call-idx;120098;0;0;0
call-idx;118838;0;0;0
call-idx;45228;554;10;1
call-idx;30179;477;10;1
call-idx;32506;469;10;1
call-idx;65033;456;10;1
call-idx;59006;433;10;1
cnone-idx-filt;4759;42;6;0.75
cnone-idx-filt;89;14;4;0.5
cnone-idx-filt;41;11;1;0.125
cnone-idx-filt;110;13;14;1.75
cnone-idx-filt;3603;36;8;1
cnone-idx-filt;7657;44;66;0.673469387755102
cnone-idx-filt;1006;43;46;0.46938775510204084
cnone-idx-filt;635;39;32;0.32653061224489793
cnone-idx-filt;2068;18;198;2.020408163265306
cnone-idx-filt;6445;38;98;1
cnone-idx-filt;0;44;0;0
cnone-idx-filt;0;43;0;0
cnone-idx-filt;0;39;0;0
cnone-idx-filt;0;18;0;0
cnone-idx-filt;0;38;0;0
cnone-idx-filt;0;44;0;0
cnone-idx-filt;0;43;0;0
cnone-idx-filt;0;39;0;0
cnone-idx-filt;0;18;0;0
cnone-idx-filt;0;38;0;0
cnone-idx-filt;1521;44;15;0.75
cnone-idx-filt;342;43;3;0.15
cnone-idx-filt;303;39;3;0.15
cnone-idx-filt;644;18;4;0.2
cnone-idx-filt;1496;38;20;1
cnone-idx-filt;8259;44;33;1.1379310344827587
cnone-idx-filt;565;43;1;0.034482758620689655
cnone-idx-filt;410;39;1;0.034482758620689655
cnone-idx-filt;1165;18;2;0.06896551724137931
cnone-idx-filt;7396;38;27;0.9310344827586207
cnone-idx-filt;12192;44;1;1
cnone-idx-filt;727;43;1;1
cnone-idx-filt;411;39;1;1
cnone-idx-filt;1295;18;1;1
cnone-idx-filt;9625;38;1;1
cnone-idx-filt;708;44;0;0
cnone-idx-filt;411;43;10;1
cnone-idx-filt;714;39;10;1
cnone-idx-filt;966;18;0;0
cnone-idx-filt;1483;38;10;1
cmatch-idx-filt;10262;42;6;0.75
cmatch-idx-filt;188;14;4;0.5
cmatch-idx-filt;41;11;1;0.125
cmatch-idx-filt;176;13;14;1.75
cmatch-idx-filt;4441;36;8;1
cmatch-idx-filt;8757;44;66;0.673469387755102
cmatch-idx-filt;1142;43;46;0.46938775510204084
cmatch-idx-filt;739;39;32;0.32653061224489793
cmatch-idx-filt;2387;18;198;2.020408163265306
cmatch-idx-filt;7336;38;98;1
cmatch-idx-filt;6;170;71;0.5
cmatch-idx-filt;6;171;67;0.47183098591549294
