experiment;time;requests;results
composite-1;5099;51;6
composite-1;1093;50;4
composite-1;511;43;1
composite-1;1721;30;14
composite-1;3531;45;8
composite-1;4101;52;66
composite-1;725;51;46
composite-1;500;44;32
composite-1;2176;31;198
composite-1;3794;46;98
composite-1;3089;178;71
composite-1;2032;179;67
composite-1;1324;128;55
composite-1;3170;237;203
composite-1;2935;197;142
composite-1;13854;68;5
composite-1;581;55;3
composite-1;660;48;3
composite-1;1369;36;3
composite-1;14522;66;7
composite-1;1605;52;15
composite-1;371;51;3
composite-1;343;44;3
composite-1;633;31;4
composite-1;1399;46;20
composite-1;76869;5225;33
composite-1;400;51;1
composite-1;349;44;1
composite-1;59223;5234;2
composite-1;4255;46;27
composite-1;122113;0;2
composite-1;812;51;1
composite-1;588;44;1
composite-1;119906;0;2
composite-1;6237;46;1
composite-1;2804;124;10
composite-1;117422;0;7
composite-1;3066;104;10
composite-1;18649;292;10
composite-1;4440;144;10
separate-1;8638;463;6
separate-1;603;65;4
separate-1;493;48;1
separate-1;2456;223;14
separate-1;5348;461;8
separate-1;6062;463;66
separate-1;672;65;46
separate-1;502;48;32
separate-1;2764;223;198
separate-1;5113;461;98
separate-1;4971;589;71
separate-1;1898;193;67
separate-1;1469;132;55
separate-1;4143;429;203
separate-1;4766;612;142
separate-1;14144;479;5
separate-1;595;69;3
separate-1;429;52;3
separate-1;2286;228;3
separate-1;15751;481;7
separate-1;2731;463;15
separate-1;400;65;3
separate-1;332;48;3
separate-1;1338;223;4
separate-1;3260;461;20
separate-1;4285;477;33
separate-1;429;65;1
separate-1;370;48;1
separate-1;2297;287;2
separate-1;4283;461;27
separate-1;12201;1855;2
separate-1;411;65;1
separate-1;303;48;1
separate-1;6045;1123;2
separate-1;4081;461;1
separate-1;372;114;10
separate-1;1463;371;10
separate-1;254;46;10
separate-1;2758;420;10
separate-1;1668;522;10
single-1;5144;51;6
single-1;568;19;4
single-1;366;16;1
single-1;1738;25;14
single-1;3547;45;8
single-1;4190;51;66
single-1;410;19;46
single-1;350;16;32
single-1;2583;25;198
single-1;3839;45;98
